肖申克的救赎,弗兰克·德拉邦特 Frank Darabont
霸王别姬,陈凯歌 Kaige Chen
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis
泰坦尼克号,詹姆斯·卡梅隆 James Cameron
这个杀手不太冷,吕克·贝松 Luc Besson
美丽人生,罗伯托·贝尼尼 Roberto Benigni
千与千寻,宫崎骏 Hayao Miyazaki
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg
盗梦空间,克里斯托弗·诺兰 Christopher Nolan
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström
星际穿越,克里斯托弗·诺兰 Christopher Nolan
楚门的世界,彼得·威尔 Peter Weir
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani
机器人总动员,安德鲁·斯坦顿 Andrew Stanton
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier
无间道,刘伟强 / 麦兆辉
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau
熔炉,黄东赫 Dong-hyuk Hwang
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino
控方证人,比利·怀尔德 Billy Wilder
龙猫,宫崎骏 Hayao Miyazaki
怦然心动,罗伯·莱纳 Rob Reiner
